No.,주문번호,상품명,상품번호,옵션명,"구	매	자",결제일자,주문상태,상품가격,건수,판매가격,결제수수료
175,21487385990,쟈가드 자켓,275180418,color: F,"천	*	선",2015-02-14 20:27,취소,81000,1,81000,3029
176,21487388000,로리 원피스,276469460,color: 소라,"천	*	선",2015-02-14 20:31,구매확정,58000,1,58000,2169
177,21487485370,로리 원피스,276469460,color: 소라,"오	*	영",2015-02-14 22:55,취소,58000,1,58000,2169
178,21487488680,롱 퍼프 가디건,277157817,color: 베이지,"안	*	진",2015-02-14 23:00,구매확정,73000,1,73000,2730
179,21587613830,슬림 슬랙스,273125800,color: 블랙 / size: S,"윤	*	정",2015-02-15 6:46,구매확정,35000,1,35000,1309
180,21587631340,로리 원피스,276469460,color: 소라,"이	*	혜",2015-02-15 9:01,구매확정,58000,1,58000,2168
181,21587672790,체크 원피스,277147934,color: 네이비,"이	*	화",2015-02-15 11:03,구매확정,42000,1,42000,1570
182,21587706600,슬림 슬랙스,273125800,color: 블랙 / size: S,"신	*	실",2015-02-15 12:11,구매확정,35000,1,35000,1308
183,21587766340,슬림 슬랙스,273125800,color: 블랙 / size: S,"김	*	은",2015-02-15 14:00,구매확정,35000,1,35000,1347
184,21587805410,쟈가드 자켓,275180418,color: F,"소	*	",2015-02-15 15:09,취소,81000,1,81000,3029
185,21587809610,슬림 슬랙스,273125800,color: 블랙 / size: S,"이	*	혜",2015-02-15 15:15,구매확정,35000,1,35000,1309
186,21587813060,로리 원피스,276469460,color: 소라,"현	*	원",2015-02-15 15:20,구매확정,58000,1,58000,2169
187,21587816920,프릴 원피스,273851370,color: 그레이,"김	*	림",2015-02-15 15:26,구매확정,49000,1,49000,1832
188,21587862620,패턴 블라우스,273199995,color: 네이비,"우	*	정",2015-02-15 16:38,구매확정,49000,1,49000,1886
189,21587900720,슬림 슬랙스,273125800,color: 블랙 / size: M,"홍	*	란",2015-02-15 17:39,구매확정,35000,1,35000,1309
190,21587923910,슬림 슬랙스,273125800,color: 네이비 / size: M,"계	*	진",2015-02-15 18:22,구매확정,35000,1,35000,1309
